num_sites,hopping_strength,onsite_interaction,chemical_potential,ground_state_energy_ED,num_csf_in_ground_state,total_num_particles,total_sz,total_s_squared,total_s,local_moment_squared,first_excited_state_energy_ED,max_bond_dimension,hamiltonian_build_time,diagonalization_time,mps_build_time
3,1.0000000000000000,-10.0000000000000000,0.5000000000000000,-10.4999999999999876,1,6.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-10.0775626616949463,1,0.0316410064697266,0.0022630691528320,0.0007228851318359
3,1.0000000000000000,-4.0000000000000000,0.5000000000000000,-6.2360679774997898,9,4.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-6.0000000000000000,4,0.0197739601135254,0.0010879039764404,0.0002961158752441
3,1.0000000000000000,-2.0000000000000000,0.5000000000000000,-5.3200893743747830,9,4.0000000000000009,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-4.4999999999999982,4,0.0177979469299316,0.0015208721160889,0.0003600120544434
3,1.0000000000000000,-1.0000000000000000,0.5000000000000000,-5.0135428474099788,9,4.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-4.2579027713765623,4,0.0179550647735596,0.0008449554443359,0.0002160072326660
3,1.0000000000000000,0.0000000000000000,0.5000000000000000,-4.8284271247461952,9,4.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-4.3284271247461819,4,0.0184633731842041,0.0009329319000244,0.0002157688140869
3,1.0000000000000000,1.0000000000000000,0.5000000000000000,-4.7579027713765587,9,4.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-4.5135428474099797,4,0.0169997215270996,0.0003948211669922,0.0002021789550781
3,1.0000000000000000,2.0000000000000000,0.5000000000000000,-4.8200893743747892,18,2.9999999999999991,-0.3442650687174681,0.7499999999999999,0.4999999999999999,1.0000000000000002,-4.7794523157686006,4,0.0167720317840576,0.0008370876312256,0.0004100799560547
3,1.0000000000000000,4.0000000000000000,0.5000000000000000,-5.7360679774997871,18,3.0000000000000004,0.0213933586087339,0.7500000000000001,0.5000000000000000,1.0000000000000002,-5.7360679774997827,4,0.0167920589447021,0.0014078617095947,0.0001521110534668
3,1.0000000000000000,10.0000000000000000,0.5000000000000000,-9.5775626616949818,18,3.0000000000000013,-0.3514602149989813,0.7500000000000004,0.5000000000000002,1.0000000000000002,-9.5775626616949676,4,0.0165100097656250,0.0013911724090576,0.0001420974731445
3,1.0000000000000000,-10.0000000000000000,-0.5000000000000000,-7.5000000000000000,1,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-7.0775626616949916,1,0.0172848701477051,0.0019521713256836,0.0001931190490723
3,1.0000000000000000,-4.0000000000000000,-0.5000000000000000,-3.2360679774997818,9,1.9999999999999998,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-2.9999999999999964,4,0.0168261528015137,0.0010251998901367,0.0001769065856934
3,1.0000000000000000,-2.0000000000000000,-0.5000000000000000,-2.3200893743747852,9,1.9999999999999998,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-1.4999999999999982,4,0.0179316997528076,0.0016229152679443,0.0001871585845947
3,1.0000000000000000,-1.0000000000000000,-0.5000000000000000,-2.0135428474099815,9,2.0000000000000004,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-1.2579027713765576,4,0.0174517631530762,0.0008111000061035,0.0001859664916992
3,1.0000000000000000,0.0000000000000000,-0.5000000000000000,-1.8284271247461883,9,2.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-1.3284271247461898,4,0.0173199176788330,0.0008461475372314,0.0002129077911377
3,1.0000000000000000,1.0000000000000000,-0.5000000000000000,-1.7579027713765574,9,2.0000000000000004,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-1.5135428474099799,4,0.0180208683013916,0.0004169940948486,0.0002110004425049
3,1.0000000000000000,2.0000000000000000,-0.5000000000000000,-1.8200893743747921,18,3.0000000000000000,0.4981524523411224,0.7500000000000001,0.5000000000000000,1.0000000000000000,-1.8200893743747908,4,0.0171620845794678,0.0016450881958008,0.0001840591430664
3,1.0000000000000000,4.0000000000000000,-0.5000000000000000,-2.7360679774997907,18,3.0000000000000000,0.1655244564401084,0.7500000000000000,0.5000000000000000,0.9999999999999999,-2.7360679774997876,4,0.0176780223846436,0.0015239715576172,0.0002837181091309
3,1.0000000000000000,10.0000000000000000,-0.5000000000000000,-6.5775626616949845,18,3.0000000000000004,0.3387550086097543,0.7500000000000001,0.5000000000000000,1.0000000000000000,-6.5775626616949703,4,0.0190000534057617,0.0016651153564453,0.0002498626708984
4,1.0000000000000000,-10.0000000000000000,0.5000000000000000,-14.0000000000000231,1,8.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-13.6578890617971638,1,0.0308120250701904,0.0038640499114990,0.0002548694610596
4,1.0000000000000000,-4.0000000000000000,0.5000000000000000,-8.4128986959190879,16,5.9999999999999991,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-7.9999999999999982,6,0.0315368175506592,0.0029110908508301,0.0007748603820801
4,1.0000000000000000,-2.0000000000000000,0.5000000000000000,-7.0871544574726109,16,6.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-6.8759428090050765,6,0.0305409431457520,0.0020391941070557,0.0002949237823486
